"county","FIPS","year","wetDays"
"mtsunapeeNH_100km_shp","shp",1979,1210.45636393875
"mtsunapeeNH_100km_shp","shp",1980,867.506363778358
"mtsunapeeNH_100km_shp","shp",1981,1203.62121249284
"mtsunapeeNH_100km_shp","shp",1982,957.669242761081
"mtsunapeeNH_100km_shp","shp",1983,1382.3504551067
"mtsunapeeNH_100km_shp","shp",1984,1204.69500021429
"mtsunapeeNH_100km_shp","shp",1985,960.494545805635
"mtsunapeeNH_100km_shp","shp",1986,1209.71227285916
"mtsunapeeNH_100km_shp","shp",1987,1117.94469745651
"mtsunapeeNH_100km_shp","shp",1988,1006.39818185076
"mtsunapeeNH_100km_shp","shp",1989,1161.68393968181
"mtsunapeeNH_100km_shp","shp",1990,1357.77121255438
"mtsunapeeNH_100km_shp","shp",1991,1148.2059092775
"mtsunapeeNH_100km_shp","shp",1992,976.871818244141
"mtsunapeeNH_100km_shp","shp",1993,1039.09393958382
"mtsunapeeNH_100km_shp","shp",1994,1111.7134848149
"mtsunapeeNH_100km_shp","shp",1995,1077.86197003659
"mtsunapeeNH_100km_shp","shp",1996,1442.48530291942
"mtsunapeeNH_100km_shp","shp",1997,1080.46181862625
"mtsunapeeNH_100km_shp","shp",1998,1163.08000054653
"mtsunapeeNH_100km_shp","shp",1999,1142.06636351361
"mtsunapeeNH_100km_shp","shp",2000,1228.8107579434
"mtsunapeeNH_100km_shp","shp",2001,885.463485026179
"mtsunapeeNH_100km_shp","shp",2002,1105.68075783149
"mtsunapeeNH_100km_shp","shp",2003,1293.87590929152
"mtsunapeeNH_100km_shp","shp",2004,1079.31848487177
"mtsunapeeNH_100km_shp","shp",2005,1517.93909109876
"mtsunapeeNH_100km_shp","shp",2006,1494.3739397738
"mtsunapeeNH_100km_shp","shp",2007,1170.36575790589
"mtsunapeeNH_100km_shp","shp",2008,1491.8922729089
"mtsunapeeNH_100km_shp","shp",2009,1274.94106083544
"mtsunapeeNH_100km_shp","shp",2010,1158.08742422028
"mtsunapeeNH_100km_shp","shp",2011,1489.90393946762
"mtsunapeeNH_100km_shp","shp",2012,1056.38393961932
"mtsunapeeNH_100km_shp","shp",2013,1121.96348512606
"mtsunapeeNH_100km_shp","shp",2014,1262.05590918078
"mtsunapeeNH_100km_shp","shp",2015,1038.56651523872
"mtsunapeeNH_100km_shp","shp",2016,964.279848554459
"mtsunapeeNH_100km_shp","shp",2017,1276.00121225245
"mtsunapeeNH_100km_shp","shp",2018,1374.40000045548
"mtsunapeeNH_100km_shp","shp",2019,1232.17136359666
"mtsunapeeNH_100km_shp","shp",2020,1046.53393978571
