"word","count","topic","color"
"cost effective",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",13,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",12,"Protection and Preparedness","#FB9A99"
"I don't know",9,"No Reason","#E31A1C"
"long lasting",8,"Protection and Preparedness","#FB9A99"
"increase in rainfall",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",6,"No Reason","#E31A1C"
"cost benefit analysis",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",6,"Perception and Personal Judgment","#33A02C"
"fix and forget",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the graph",5,"Data Interpretation and Understanding","#B2DF8A"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"saves money",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"advantages it offers",3,"Perception and Personal Judgment","#33A02C"
"amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"freeboard added",3,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",2,"Perception and Personal Judgment","#33A02C"
"more information wanted",2,"Data Interpretation and Understanding","#B2DF8A"
"no comment",2,"No Reason","#E31A1C"
"avoid damage and its costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 2 events",1,"Data Interpretation and Understanding","#B2DF8A"
"based on 4 events",1,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best level of protection",1,"Protection and Preparedness","#FB9A99"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"insurance costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",1,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",1,"Protection and Preparedness","#FB9A99"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
